"skills","job_count","yearly_salary_avg"
"sql","385750","119409"
"python","381863","126953"
"aws","145718","130262"
"azure","132851","125139"
"r","131285","120669"
"tableau","127500","111470"
"excel","127341","91528"
"spark","114928","136635"
"power bi","98363","102544"
"java","85854","129766"
"sas","83652","106054"
"hadoop","65041","131960"
"scala","57058","137997"
"snowflake","55150","132396"
"databricks","53282","127761"
"gcp","50824","128821"
"git","50358","124488"
"kafka","50092","138868"
"airflow","45363","139709"
"oracle","45318","110344"
"nosql","45227","130592"
"docker","41834","128564"
"sql server","40287","109313"
"go","38752","123621"
"kubernetes","37436","135649"
